[2022-02-25 15:12:57,600: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:13:07,600: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:13:17,600: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:13:27,600: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:13:37,600: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:13:47,600: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:13:57,600: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:14:07,601: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:14:17,601: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:14:27,601: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:14:37,601: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:14:47,627: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:14:57,627: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:15:07,627: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:15:17,627: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:15:27,627: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:15:37,628: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:15:47,628: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:15:57,628: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:16:07,628: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:16:17,628: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:16:27,629: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:16:37,629: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:16:47,629: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:16:57,629: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:17:07,629: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:17:17,629: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:17:27,629: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:17:37,629: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:17:47,648: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:17:57,648: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:18:07,649: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:18:17,649: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:18:27,649: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:18:37,649: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:18:47,649: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:18:57,649: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:19:07,649: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:19:17,649: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
[2022-02-25 15:19:27,649: INFO/MainProcess] Scheduler: Sending due task send_mail_schedule (send_mail)
